,School,Major,Sem_year,Semester,Year,Batch,Course,Credits,Grade
14613,School of Engineering,EED,Spring 2018,Spring,2018,2017,MAT104,4.0,B
14614,School of Engineering,EED,Spring 2018,Spring,2018,2017,CCC628,1.5,B-
14615,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,A
14616,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,A
14617,School of Engineering,MED,Spring 2018,Spring,2018,2017,CCC402,1.5,A
14618,School of Engineering,MED,Spring 2018,Spring,2018,2017,MAT104,4.0,B
14619,School of Engineering,MED,Spring 2018,Spring,2018,2017,CCC302,1.5,A-
14620,School of Engineering,MED,Spring 2018,Spring,2018,2017,PHY102,5.0,C-
14621,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,C
14622,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,B
14623,School of Engineering,MED,Spring 2018,Spring,2018,2017,CCC402,1.5,B
14624,School of Engineering,MED,Spring 2018,Spring,2018,2017,CCC625,1.5,B-
14625,School of Engineering,MED,Spring 2018,Spring,2018,2017,MAT104,4.0,B-
14626,School of Engineering,MED,Spring 2018,Spring,2018,2017,PHY102,5.0,C
14627,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,C
14628,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2017,MED104,2.0,A-
14629,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,A
14630,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2017,MED105,4.0,C
14631,School of Engineering,EED,Spring 2018,Spring,2018,2017,MAT104,4.0,A-
14632,School of Engineering,EED,Spring 2018,Spring,2018,2017,CCC628,1.5,A
14633,School of Engineering,EED,Spring 2018,Spring,2018,2017,MED101,2.0,A
14634,School of Engineering,EED,Spring 2018,Spring,2018,2017,CCC414,1.5,A-
14635,School of Engineering,EED,Spring 2018,Spring,2018,2017,CCC402,1.5,A
14636,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,A-
14637,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,B-
14638,School of Engineering,ECE,Spring 2018,Spring,2018,2017,CCC302,1.5,A
14639,School of Engineering,ECE,Spring 2018,Spring,2018,2017,CCC402,1.5,A
14640,School of Engineering,ECE,Spring 2018,Spring,2018,2017,MAT104,4.0,A-
14641,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,CCC407,1.5,A-
14642,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,CCC415,1.5,B-
14643,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,B-
14644,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,CHY111,5.0,B
14645,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,MED104,2.0,A-
14646,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,B-
14647,School of Engineering,CHD,Spring 2018,Spring,2018,2017,MAT104,4.0,B-
14648,School of Engineering,CHD,Spring 2018,Spring,2018,2017,CCC704,4.0,A
14649,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,B
14650,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,B
14651,School of Engineering,CSD,Spring 2018,Spring,2018,2017,CCC628,1.5,B
14652,School of Engineering,CSD,Spring 2018,Spring,2018,2017,CCC414,1.5,B
14653,School of Engineering,CSD,Spring 2018,Spring,2018,2017,MAT104,4.0,B
14654,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,B-
14655,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,B-
14656,School of Engineering,EED,Spring 2018,Spring,2018,2017,MAT104,4.0,B
14657,School of Engineering,EED,Spring 2018,Spring,2018,2017,CCC402,1.5,A-
14658,School of Engineering,EED,Spring 2018,Spring,2018,2017,CCC414,1.5,A
14659,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,STM103,3.0,B
14660,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,OHM103,3.0,B
14661,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,CCC101,1.5,A-
14662,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,CCC626,1.5,B-
14663,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,CCC805,1.5,B
14664,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,CCC412,1.5,C
14665,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,DOM103,3.0,D
14666,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,CCC224,1.5,B
14667,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,CCC704,4.0,B-
14668,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,MGT102,3.0,B
14669,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,MKT201,3.0,C-
14670,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,ISM101,3.0,B-
14671,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,MEC102,3.0,B-
14672,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,C
14673,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,B-
14674,School of Engineering,EED,Spring 2018,Spring,2018,2017,CCC402,1.5,B-
14675,School of Engineering,EED,Spring 2018,Spring,2018,2017,CCC330,1.5,C
14676,School of Engineering,EED,Spring 2018,Spring,2018,2017,MAT104,4.0,B
14677,School of Engineering,EED,Spring 2018,Spring,2018,2017,CCC414,1.5,B
14678,School of Engineering,EED,Spring 2018,Spring,2018,2017,CCC629,1.5,B
14679,School of Engineering,CED,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,B-
14680,School of Engineering,CED,Monsoon 2017,Monsoon,2017,2017,MED104,2.0,C-
14681,School of Engineering,CED,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,A-
14682,School of Engineering,CED,Spring 2018,Spring,2018,2017,MAT104,4.0,A-
14683,School of Engineering,CED,Spring 2018,Spring,2018,2017,CCC402,1.5,B-
14684,School of Engineering,CED,Spring 2018,Spring,2018,2017,CCC704,4.0,A
14685,School of Engineering,CED,Spring 2018,Spring,2018,2017,CCC801,1.5,A-
14686,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,B-
14687,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,B
14688,School of Engineering,ECE,Spring 2018,Spring,2018,2017,CCC302,1.5,A-
14689,School of Engineering,ECE,Spring 2018,Spring,2018,2017,CCC402,1.5,B
14690,School of Engineering,ECE,Spring 2018,Spring,2018,2017,CCC821,1.5,B
14691,School of Engineering,ECE,Spring 2018,Spring,2018,2017,CCC414,1.5,B
14692,School of Engineering,ECE,Spring 2018,Spring,2018,2017,MAT104,4.0,A
14693,School of Natural Sciences,BIO,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,B
14694,School of Natural Sciences,BIO,Spring 2018,Spring,2018,2017,CCC704,4.0,A-
14695,School of Natural Sciences,BIO,Spring 2018,Spring,2018,2017,CHY122,4.0,B-
14696,School of Natural Sciences,CHY,Monsoon 2017,Monsoon,2017,2017,PHY101,4.0,B-
14697,School of Natural Sciences,CHY,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,A-
14698,School of Natural Sciences,CHY,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,B
14699,School of Natural Sciences,CHY,Monsoon 2017,Monsoon,2017,2017,EED103,5.0,C
14700,School of Natural Sciences,CHY,Monsoon 2017,Monsoon,2017,2017,CSD101,4.0,C
14701,School of Natural Sciences,CHY,Spring 2018,Spring,2018,2017,BIO113,3.0,C-
14702,School of Natural Sciences,CHY,Spring 2018,Spring,2018,2017,MAT104,4.0,B-
14703,School of Natural Sciences,CHY,Spring 2018,Spring,2018,2017,PHY102,5.0,B
14704,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,CCC625,1.5,B
14705,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,DOM103,3.0,C
14706,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,CCC101,1.5,B
14707,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,STM103,3.0,B
14708,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,CCC805,1.5,A-
14709,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,OHM103,3.0,A-
14710,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,CCC704,4.0,A
14711,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,BIO307,3.0,B
14712,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,MGT102,3.0,B
14713,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,MEC102,3.0,B
14714,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,CCC402,1.5,B
14715,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,ISM101,3.0,B
14716,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,CCC311,1.5,B
14717,School of Natural Sciences,BIO,Monsoon 2017,Monsoon,2017,2017,CCC412,1.5,A
14718,School of Natural Sciences,BIO,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,A-
14719,School of Natural Sciences,BIO,Spring 2018,Spring,2018,2017,CHY122,4.0,A
14720,School of Natural Sciences,BIO,Spring 2018,Spring,2018,2017,CCC229,1.5,A
14721,School of Natural Sciences,BIO,Spring 2018,Spring,2018,2017,CCC704,4.0,A
14722,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,F
14723,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2017,CCC801,1.5,B-
14724,School of Humanities & Soc Sci,ECO,Spring 2018,Spring,2018,2017,CCC704,4.0,A
14725,School of Humanities & Soc Sci,HIS,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,A-
14726,School of Humanities & Soc Sci,HIS,Spring 2018,Spring,2018,2017,SOC103,3.0,A-
14727,School of Humanities & Soc Sci,HIS,Spring 2018,Spring,2018,2017,CCC704,4.0,B-
14728,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,B
14729,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,CHY111,5.0,A
14730,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,CCC415,1.5,A-
14731,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,CCC407,1.5,A
14732,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,A-
14733,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,MED104,2.0,A
14734,School of Engineering,CHD,Spring 2018,Spring,2018,2017,MAT104,4.0,B-
14735,School of Engineering,CHD,Spring 2018,Spring,2018,2017,CCC704,4.0,A-
14736,School of Humanities & Soc Sci,SOC,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,A-
14737,School of Humanities & Soc Sci,SOC,Monsoon 2017,Monsoon,2017,2017,CCC407,1.5,B
14738,School of Humanities & Soc Sci,SOC,Spring 2018,Spring,2018,2017,BIO307,3.0,A-
14739,School of Humanities & Soc Sci,SOC,Spring 2018,Spring,2018,2017,CCC704,4.0,B
14740,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,DOM103,3.0,B-
14741,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,STM103,3.0,B
14742,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,CCC805,1.5,B
14743,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,OHM103,3.0,B-
