,School,Major,Sem_year,Semester,Year,Batch,Course,Credits,Grade
3520,School of Engineering,ECE,Spring 2018,Spring,2018,2016,ECO102,4.0,B
3521,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2016,MAT160,4.0,B-
3522,School of Engineering,EED,Spring 2018,Spring,2018,2016,MED101,2.0,A
3523,School of Engineering,EED,Spring 2018,Spring,2018,2016,MED210,2.0,B
3524,School of Natural Sciences,MAT,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,C-
3525,School of Natural Sciences,MAT,Spring 2018,Spring,2018,2016,ECO102,4.0,B
3526,School of Natural Sciences,MAT,Monsoon 2017,Monsoon,2017,2016,SOC217,3.0,B
3527,School of Natural Sciences,MAT,Spring 2018,Spring,2018,2016,CHY122,4.0,C
3528,School of Natural Sciences,MAT,Spring 2018,Spring,2018,2016,MKT401,3.0,B
3529,School of Engineering,EED,Spring 2018,Spring,2018,2016,MED210,2.0,B
3530,School of Engineering,EED,Spring 2018,Spring,2018,2016,MED101,2.0,A
3531,School of Engineering,EED,Spring 2018,Spring,2018,2016,MAT104,4.0,A-
3532,School of Engineering,EED,Spring 2018,Spring,2018,2016,CHY334,2.0,B
3533,School of Engineering,EED,Spring 2018,Spring,2018,2016,MED101,2.0,A-
3534,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,A-
3535,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,C
3536,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2016,MAT160,4.0,C
3537,School of Engineering,MED,Spring 2018,Spring,2018,2016,EED203,4.0,B
3538,School of Engineering,MED,Spring 2018,Spring,2018,2016,MAT104,4.0,A-
3539,School of Natural Sciences,PHY,Spring 2017,Spring,2017,2016,EED101,5.0,B-
3540,School of Natural Sciences,PHY,Monsoon 2017,Monsoon,2017,2016,MAT160,4.0,C-
3541,School of Natural Sciences,PHY,Monsoon 2017,Monsoon,2017,2016,MAT284,4.0,B-
3542,School of Natural Sciences,PHY,Spring 2018,Spring,2018,2016,MAT388,4.0,B-
3543,School of Natural Sciences,PHY,Spring 2018,Spring,2018,2016,EED204,4.0,C
3544,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,A-
3545,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,B-
3546,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2016,MAT160,4.0,C
3547,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,C
3548,School of Engineering,CSD,Spring 2018,Spring,2018,2016,IRG204,3.0,B
3549,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,B-
3550,School of Engineering,CSD,Spring 2018,Spring,2018,2016,MAT230,4.0,A-
3551,School of Humanities & Soc Sci,ECO,Spring 2017,Spring,2017,2016,MAT110,4.0,A-
3552,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,ADP112,4.0,A-
3553,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,MAT390,4.0,A-
3554,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,MAT484,4.0,A
3555,School of Humanities & Soc Sci,ECO,Spring 2018,Spring,2018,2016,ENG343,4.0,A
3556,School of Humanities & Soc Sci,ECO,Spring 2018,Spring,2018,2016,ADP110,4.0,A-
3557,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,C
3558,School of Engineering,CSD,Spring 2018,Spring,2018,2016,MGT201,1.5,B
3559,School of Engineering,CSD,Spring 2018,Spring,2018,2016,MGT102,3.0,B
3560,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,HIS203,3.0,C-
3561,School of Engineering,CSD,Spring 2018,Spring,2018,2016,CED308,4.0,B
3562,School of Humanities & Soc Sci,ECO,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,A
3563,School of Humanities & Soc Sci,ECO,Monsoon 2016,Monsoon,2016,2016,PHY101,4.0,B
3564,School of Humanities & Soc Sci,ECO,Monsoon 2016,Monsoon,2016,2016,CED102,2.0,B-
3565,School of Humanities & Soc Sci,ECO,Monsoon 2016,Monsoon,2016,2016,MED102,3.0,A
3566,School of Humanities & Soc Sci,ECO,Spring 2017,Spring,2017,2016,MED101,2.0,A
3567,School of Humanities & Soc Sci,ECO,Spring 2017,Spring,2017,2016,MAT203,4.0,B
3568,School of Humanities & Soc Sci,ECO,Spring 2017,Spring,2017,2016,CSD101,4.0,A
3569,School of Humanities & Soc Sci,ECO,Spring 2017,Spring,2017,2016,PHY102,5.0,A-
3570,School of Humanities & Soc Sci,ECO,Spring 2017,Spring,2017,2016,EED101,5.0,A-
3571,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,MAT205,3.0,A-
3572,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,MED203,4.0,A
