,School,Major,Sem1_courses,Sem1_grades,Sem2_courses,Sem2_grades,Sem3_courses,Sem3_grades,Sem4_courses,Sem4_grades,Sem5_courses,Sem5_grades,Sem6_courses,Sem6_grades,Sem7_courses,Sem7_grades,Sem8_courses,Sem8_grades,Batch,Minor
460,School of Engineering,MED,['MAT201'],['C-'],['PHY102'],['B-'],[],[],"['HIS104', 'CED307']","['C', 'C']",['CED405'],['B'],"['CED308', 'CED203']","['B-', 'B']",[],[],[],[],2015,CED
461,School of Engineering,CSD,[],[],[],[],['MAT260'],['C-'],['MAT442'],['B'],"['MAT280', 'MAT431']","['A', 'A']",['MAT230'],['A-'],[],[],[],[],2015,MAT
462,School of Natural Sciences,PHY,[],[],[],[],"['MAT240', 'MAT260']","['D', 'A-']","['MAT440', 'MAT430']","['B-', 'A-']","['BDA655', 'CHY211']","['A', 'B']",['MAT442'],['B-'],[],[],[],[],2015,MAT
467,School of Humanities & Soc Sci,ECO,[],[],['DOM102'],['B'],['MAT390'],['B'],['MAT110'],['A-'],"['MAT160', 'MAT484']","['A-', 'B']",['MAT388'],['A'],[],[],[],[],2015,MAT
474,School of Engineering,MED,['MAT201'],['B'],['PHY102'],['B-'],['ECO101'],['C'],['ECO102'],['B'],['ECO301'],['C-'],"['ECO327', 'ECO221']","['A-', 'B-']",[],[],[],[],2015,ECO
476,School of Engineering,MED,['MAT201'],['C'],['PHY102'],['B'],['EED206'],['C-'],"['EED308', 'EED301']","['B-', 'B-']",['MAT160'],['C-'],['EED203'],['B-'],[],[],[],[],2015,EED
480,School of Engineering,CSD,[],[],[],[],['ECO101'],['B-'],['ECO102'],['A-'],"['ECO203', 'ECO301']","['B', 'B']",['ECO221'],['A-'],[],[],[],[],2015,ECO
481,School of Engineering,CSD,[],[],[],[],['ECO101'],['B-'],"['ECO102', 'ECO301']","['A', 'B']","['ECO203', 'ECO354']","['B', 'C']",['ECO221'],['A-'],[],[],[],[],2015,ECO
482,School of Engineering,CSD,[],[],[],[],"['ECO101', 'MAT284']","['B', 'B-']","['ECO102', 'MAT440', 'MAT430']","['A', 'B-', 'A-']","['ECO301', 'MAT431', 'ECO354', 'ECO203']","['A-', 'B', 'A-', 'B']",['ECO221'],['A-'],[],[],[],[],2015,ECO
491,School of Engineering,EED,[],[],[],[],['ECO101'],['C'],['ECO102'],['A-'],['ECO203'],['B'],"['ECO375', 'ECO221']","['B-', 'B']",[],[],[],[],2015,ECO
492,School of Humanities & Soc Sci,ECO,[],[],['SOC203'],['A-'],['MAT390'],['B'],"['MAT110', 'MAT490']","['C', 'C']","['IRG208', 'SOC204']","['A-', 'A']","['SOC412', 'MAT283', 'SOC321']","['A-', 'A-', 'A-']",[],[],[],[],2015,SOC
